"V1","V2","V3","V4","V5","V6","V7"
"1","0.000000","0.824629","-0.525195","0.210134","0.504362","98436.000000","5862.000000"
"2","1.000000","0.824893","-0.525059","0.209437","0.503133","95561.000000","6899.000000"
"3","2.000000","0.824632","-0.525605","0.209095","0.501901","97431.000000","8125.000000"
"4","3.000000","0.824401","-0.525812","0.209487","0.500666","97570.000000","7178.000000"
"5","4.000000","0.825007","-0.524954","0.209255","0.499429","100620.000000","7948.000000"
"6","5.000000","0.824433","-0.525883","0.209180","0.498188","94398.000000","7048.000000"
"7","6.000000","0.824364","-0.525776","0.209724","0.496944","95616.000000","6378.000000"
"8","7.000000","0.824092","-0.525642","0.211123","0.495696","98134.000000","8082.000000"
"9","8.000000","0.824257","-0.525099","0.211828","0.494446","98958.000000","7100.000000"
"10","9.000000","0.823990","-0.525208","0.212597","0.493193","96488.000000","6918.000000"
"11","10.000000","0.823953","-0.525110","0.212981","0.491936","94081.000000","5761.000000"
"12","11.000000","0.823320","-0.525738","0.213878","0.490803","96981.000000","7545.000000"
"13","12.000000","0.823484","-0.525193","0.214585","0.489796","96665.000000","6987.000000"
"14","13.000000","0.823353","-0.525467","0.214416","0.488913","95659.000000","7447.000000"
"15","14.000000","0.823568","-0.525170","0.214321","0.488155","94888.000000","6940.000000"
"16","15.000000","0.823759","-0.524795","0.214504","0.487522","98821.000000","7453.000000"
"17","16.000000","0.823930","-0.524689","0.214104","0.487016","96003.000000","7055.000000"
"18","17.000000","0.824316","-0.524628","0.212763","0.486635","97475.000000","8125.000000"
"19","18.000000","0.824269","-0.524408","0.213487","0.486382","92971.000000","5413.000000"
"20","19.000000","0.824023","-0.524849","0.213355","0.486254","97198.000000","7816.000000"
"21","20.000000","0.824202","-0.524480","0.213568","0.486254","98376.000000","7762.000000"
"22","21.000000","0.823476","-0.525822","0.213069","0.486254","98389.000000","8115.000000"
"23","22.000000","0.822804","-0.526696","0.213506","0.486254","98286.000000","7464.000000"
"24","23.000000","0.822417","-0.526756","0.214848","0.486254","96833.000000","7493.000000"
"25","24.000000","0.823064","-0.525462","0.215534","0.486382","96439.000000","6859.000000"
"26","25.000000","0.822876","-0.525991","0.214962","0.486635","97944.000000","6872.000000"
"27","26.000000","0.822877","-0.526334","0.214116","0.487016","96174.000000","7598.000000"
"28","27.000000","0.822229","-0.527095","0.214732","0.487522","97535.000000","8603.000000"
"29","28.000000","0.822748","-0.526419","0.214405","0.488155","100436.000000","8930.000000"
"30","29.000000","0.823051","-0.526383","0.213327","0.488913","96473.000000","7589.000000"
"31","30.000000","0.822475","-0.527314","0.213250","0.489796","96377.000000","6525.000000"
"32","31.000000","0.822285","-0.527841","0.212677","0.490803","95130.000000","5628.000000"
"33","32.000000","0.822067","-0.528482","0.211925","0.491936","99268.000000","8374.000000"
"34","33.000000","0.821776","-0.529355","0.210873","0.493193","100228.000000","7094.000000"
"35","34.000000","0.820849","-0.530718","0.211056","0.494446","95346.000000","6140.000000"
"36","35.000000","0.820942","-0.531189","0.209507","0.495696","99047.000000","7729.000000"
"37","36.000000","0.821031","-0.531660","0.207955","0.496820","101711.000000","8789.000000"
"38","37.000000","0.820499","-0.532189","0.208699","0.497818","97183.000000","5531.000000"
"39","38.000000","0.819539","-0.533829","0.208286","0.498690","98343.000000","6155.000000"
"40","39.000000","0.820010","-0.533455","0.207385","0.499436","97953.000000","7563.000000"
"41","40.000000","0.819603","-0.534487","0.206337","0.500057","99484.000000","7568.000000"
"42","41.000000","0.819207","-0.535333","0.205714","0.500554","100773.000000","8277.000000"
"43","42.000000","0.819450","-0.535595","0.204056","0.500926","97901.000000","8389.000000"
"44","43.000000","0.818681","-0.536711","0.204214","0.501173","96117.000000","6253.000000"
"45","44.000000","0.818343","-0.537511","0.203462","0.501297","98632.000000","6870.000000"
"46","45.000000","0.818305","-0.537771","0.202927","0.501297","99515.000000","8347.000000"
"47","46.000000","0.817965","-0.538571","0.202175","0.501297","98832.000000","8398.000000"
"48","47.000000","0.817826","-0.538900","0.201860","0.501297","97253.000000","7439.000000"
"49","48.000000","0.816742","-0.540380","0.202292","0.501297","99005.000000","7043.000000"
"50","49.000000","0.816141","-0.541107","0.202775","0.501297","100505.000000","7411.000000"
"51","50.000000","0.815404","-0.542155","0.202941","0.501297","99381.000000","8783.000000"
"52","51.000000","0.814917","-0.542905","0.202890","0.501297","96417.000000","7445.000000"
"53","52.000000","0.814699","-0.543552","0.202031","0.501173","98780.000000","8718.000000"
"54","53.000000","0.814841","-0.543274","0.202207","0.500926","99231.000000","7349.000000"
"55","54.000000","0.814167","-0.544501","0.201621","0.500554","100359.000000","8287.000000"
"56","55.000000","0.814594","-0.543901","0.201517","0.500057","97765.000000","6155.000000"
"57","56.000000","0.814577","-0.544030","0.201234","0.499436","99513.000000","7089.000000"
"58","57.000000","0.814421","-0.544484","0.200636","0.498690","97301.000000","5463.000000"
"59","58.000000","0.814083","-0.545469","0.199330","0.497818","95693.000000","6165.000000"
"60","59.000000","0.813895","-0.545856","0.199039","0.496820","97637.000000","7523.000000"
"61","60.000000","0.813496","-0.546561","0.198737","0.495696","99210.000000","6554.000000"
"62","61.000000","0.813889","-0.546357","0.197687","0.494446","98308.000000","6940.000000"
"63","62.000000","0.812965","-0.547926","0.197142","0.493193","99757.000000","7155.000000"
"64","63.000000","0.812878","-0.547964","0.197395","0.491936","97354.000000","7352.000000"
"65","64.000000","0.812563","-0.548463","0.197307","0.490803","99843.000000","7765.000000"
"66","65.000000","0.812338","-0.548968","0.196829","0.489796","98328.000000","7382.000000"
"67","66.000000","0.811796","-0.549953","0.196312","0.488913","99200.000000","8442.000000"
"68","67.000000","0.810984","-0.550485","0.198169","0.488155","97319.000000","7311.000000"
"69","68.000000","0.810464","-0.551686","0.196951","0.487522","100259.000000","9477.000000"
"70","69.000000","0.809961","-0.552195","0.197593","0.487016","99023.000000","7017.000000"
"71","70.000000","0.809249","-0.553092","0.198003","0.486635","99602.000000","8332.000000"
"72","71.000000","0.809686","-0.552072","0.199060","0.486382","97670.000000","6902.000000"
"73","72.000000","0.810313","-0.551360","0.198484","0.486254","100470.000000","6134.000000"
"74","73.000000","0.810603","-0.551322","0.197401","0.486254","102981.000000","7513.000000"
"75","74.000000","0.810006","-0.552226","0.197324","0.486254","98492.000000","7870.000000"
"76","75.000000","0.810215","-0.551713","0.197900","0.486254","99324.000000","5990.000000"
"77","76.000000","0.809924","-0.551750","0.198983","0.486254","96632.000000","7064.000000"
"78","77.000000","0.810749","-0.550906","0.197962","0.486254","100286.000000","6916.000000"
"79","78.000000","0.810427","-0.551410","0.197874","0.486254","98534.000000","7548.000000"
"80","79.000000","0.810583","-0.550815","0.198894","0.486382","97929.000000","6839.000000"
"81","80.000000","0.810743","-0.550362","0.199494","0.486635","98392.000000","7586.000000"
"82","81.000000","0.810760","-0.550234","0.199779","0.487016","100258.000000","8574.000000"
"83","82.000000","0.810990","-0.549769","0.200120","0.487522","97407.000000","8489.000000"
"84","83.000000","0.810570","-0.550095","0.200926","0.488155","99061.000000","8109.000000"
"85","84.000000","0.811270","-0.548883","0.201416","0.488913","96892.000000","5268.000000"
