"V1","V2","V3","V4","V5","V6","V7"
"1","0.000000","0.773354","-0.568161","0.281278","0.099516","80991.000000","-2051.000000"
"2","1.000000","0.774162","-0.567747","0.279888","0.099516","83486.000000","-1102.000000"
"3","2.000000","0.774768","-0.566956","0.279813","0.099516","83671.000000","-1135.000000"
"4","3.000000","0.775064","-0.567272","0.278350","0.099516","79704.000000","-1966.000000"
"5","4.000000","0.775506","-0.566318","0.279061","0.099516","80725.000000","-2199.000000"
"6","5.000000","0.775284","-0.566179","0.279958","0.099516","83344.000000","-2796.000000"
"7","6.000000","0.775466","-0.565507","0.280809","0.099516","80407.000000","-1989.000000"
"8","7.000000","0.776090","-0.564606","0.280898","0.099516","82522.000000","-1688.000000"
"9","8.000000","0.776534","-0.564162","0.280565","0.099516","81283.000000","-1829.000000"
"10","9.000000","0.777276","-0.563600","0.279638","0.099516","82456.000000","-3066.000000"
"11","10.000000","0.777276","-0.563600","0.279638","0.099516","82513.000000","-1583.000000"
"12","11.000000","0.776902","-0.564784","0.278284","0.099516","80663.000000","-1039.000000"
"13","12.000000","0.777805","-0.563358","0.278652","0.099516","80872.000000","-694.000000"
"14","13.000000","0.777067","-0.564216","0.278975","0.099516","80948.000000","-1434.000000"
"15","14.000000","0.776904","-0.564569","0.278717","0.100119","80145.000000","-2323.000000"
"16","15.000000","0.777422","-0.564593","0.277219","0.101294","82029.000000","-1481.000000"
"17","16.000000","0.777567","-0.564049","0.277918","0.103012","80528.000000","-2032.000000"
"18","17.000000","0.778468","-0.562623","0.278287","0.105248","82534.000000","-2894.000000"
"19","18.000000","0.778102","-0.562298","0.279961","0.107983","83495.000000","-1003.000000"
"20","19.000000","0.777002","-0.563559","0.280482","0.111196","80865.000000","-2673.000000"
"21","20.000000","0.777370","-0.563453","0.279672","0.114409","82415.000000","-1949.000000"
"22","21.000000","0.776699","-0.564322","0.279784","0.118084","82000.000000","-1470.000000"
"23","22.000000","0.776420","-0.564199","0.280805","0.121759","80780.000000","-1452.000000"
"24","23.000000","0.776124","-0.564826","0.280363","0.125434","81137.000000","-2439.000000"
"25","24.000000","0.776278","-0.564742","0.280107","0.128506","80672.000000","-1716.000000"
"26","25.000000","0.776594","-0.564306","0.280108","0.131006","82113.000000","-2043.000000"
"27","26.000000","0.776728","-0.564541","0.279261","0.132964","81658.000000","-1638.000000"
"28","27.000000","0.777625","-0.563123","0.279627","0.134403","80747.000000","-2649.000000"
"29","28.000000","0.777157","-0.563938","0.279287","0.135343","82853.000000","-1449.000000"
"30","29.000000","0.777900","-0.562604","0.279907","0.135806","80281.000000","-2491.000000"
"31","30.000000","0.777156","-0.563213","0.280747","0.136268","81363.000000","-2569.000000"
"32","31.000000","0.777004","-0.563296","0.281003","0.136268","81618.000000","-566.000000"
"33","32.000000","0.776269","-0.564364","0.280892","0.136268","79085.000000","-2809.000000"
"34","33.000000","0.777042","-0.563382","0.280724","0.136268","79742.000000","-2204.000000"
"35","34.000000","0.776086","-0.564308","0.281509","0.136268","79305.000000","-2005.000000"
"36","35.000000","0.776103","-0.563988","0.282102","0.136268","78524.000000","-1410.000000"
"37","36.000000","0.776419","-0.563554","0.282100","0.136268","80384.000000","-1842.000000"
"38","37.000000","0.776786","-0.563665","0.280865","0.136268","81634.000000","-2330.000000"
"39","38.000000","0.777019","-0.563323","0.280907","0.136268","81072.000000","-1952.000000"
"40","39.000000","0.777028","-0.562839","0.281850","0.136268","81779.000000","-2123.000000"
"41","40.000000","0.777028","-0.563054","0.281420","0.136268","80421.000000","-1249.000000"
"42","41.000000","0.777764","-0.561982","0.281530","0.136268","80723.000000","-2203.000000"
"43","42.000000","0.778406","-0.561572","0.280571","0.136268","80794.000000","-1456.000000"
"44","43.000000","0.778031","-0.562246","0.280263","0.136268","81040.000000","-2088.000000"
"45","44.000000","0.777617","-0.562102","0.281696","0.136268","82366.000000","-1196.000000"
"46","45.000000","0.777145","-0.563398","0.280409","0.136268","80803.000000","-2197.000000"
"47","46.000000","0.776666","-0.563754","0.281018","0.135806","81750.000000","-1706.000000"
"48","47.000000","0.775700","-0.564947","0.281291","0.135343","80985.000000","-2935.000000"
"49","48.000000","0.774799","-0.566365","0.280924","0.134881","80036.000000","-2796.000000"
"50","49.000000","0.776361","-0.564861","0.279636","0.134419","80629.000000","-2705.000000"
"51","50.000000","0.775910","-0.564630","0.281348","0.133478","81110.000000","-2138.000000"
"52","51.000000","0.775825","-0.564510","0.281825","0.132537","80836.000000","-1978.000000"
"53","52.000000","0.775666","-0.564941","0.281396","0.131597","82851.000000","-1353.000000"
"54","53.000000","0.775961","-0.564101","0.282265","0.130158","81080.000000","-3540.000000"
"55","54.000000","0.775381","-0.565083","0.281898","0.128200","81961.000000","-1475.000000"
"56","55.000000","0.775659","-0.564563","0.282174","0.125700","81891.000000","-1689.000000"
"57","56.000000","0.775183","-0.565854","0.280892","0.123090","79471.000000","-2201.000000"
"58","57.000000","0.774590","-0.566376","0.281474","0.119877","81539.000000","-3587.000000"
"59","58.000000","0.774152","-0.567325","0.280769","0.116021","81463.000000","-2505.000000"
"60","59.000000","0.774013","-0.567095","0.281615","0.112166","81050.000000","-1790.000000"
"61","60.000000","0.774092","-0.566623","0.282346","0.108789","81477.000000","-2457.000000"
"62","61.000000","0.774693","-0.565322","0.283304","0.105412","82085.000000","-1973.000000"
"63","62.000000","0.774168","-0.565640","0.284104","0.102035","81952.000000","-994.000000"
"64","63.000000","0.775057","-0.564709","0.283531","0.099155","81571.000000","-1725.000000"
"65","64.000000","0.775535","-0.564356","0.282928","0.096795","80826.000000","-2518.000000"
"66","65.000000","0.774662","-0.564969","0.284093","0.094978","82132.000000","-1796.000000"
"67","66.000000","0.774820","-0.565183","0.283235","0.093731","81759.000000","-2417.000000"
"68","67.000000","0.774430","-0.566169","0.282333","0.093088","81228.000000","-1628.000000"
"69","68.000000","0.775178","-0.565775","0.281064","0.093088","81157.000000","-1693.000000"
"70","69.000000","0.775542","-0.565588","0.280438","0.093088","80334.000000","-2442.000000"
"71","70.000000","0.775694","-0.565717","0.279755","0.093088","80607.000000","-2397.000000"
"72","71.000000","0.776132","-0.565492","0.278996","0.093088","81284.000000","-1754.000000"
"73","72.000000","0.776417","-0.565350","0.278488","0.093088","80745.000000","-1139.000000"
"74","73.000000","0.776417","-0.565350","0.278488","0.093088","80867.000000","-2867.000000"
"75","74.000000","0.776264","-0.565435","0.278742","0.093088","82098.000000","-2454.000000"
"76","75.000000","0.776723","-0.564890","0.278570","0.093088","81562.000000","-2890.000000"
"77","76.000000","0.776627","-0.564741","0.279137","0.093088","81151.000000","-1615.000000"
"78","77.000000","0.776204","-0.564865","0.280063","0.093088","82055.000000","-1783.000000"
"79","78.000000","0.776258","-0.563904","0.281844","0.093088","81794.000000","-2252.000000"
"80","79.000000","0.775996","-0.563675","0.283023","0.093088","84465.000000","-1235.000000"
"81","80.000000","0.776004","-0.563622","0.283105","0.093088","81969.000000","-2653.000000"
"82","81.000000","0.775935","-0.563394","0.283747","0.093088","81540.000000","-1876.000000"
"83","82.000000","0.776672","-0.562321","0.283859","0.093088","80256.000000","-2272.000000"
"84","83.000000","0.775080","-0.564853","0.283182","0.093088","84338.000000","-2294.000000"
"85","84.000000","0.776043","-0.563925","0.282393","0.093088","82512.000000","-1900.000000"
"86","85.000000","0.775657","-0.564134","0.283036","0.093088","80750.000000","-2496.000000"
"87","86.000000","0.775494","-0.564485","0.282782","0.093088","81701.000000","-1977.000000"
"88","87.000000","0.775279","-0.564290","0.283760","0.093088","84638.000000","-2020.000000"
"89","88.000000","0.775644","-0.564105","0.283127","0.093088","82034.000000","-1778.000000"
"90","89.000000","0.775636","-0.564588","0.282186","0.093088","83377.000000","-1649.000000"
"91","90.000000","0.776179","-0.563733","0.282403","0.093088","83174.000000","-1570.000000"
"92","91.000000","0.776379","-0.563899","0.281521","0.093088","85064.000000","-1368.000000"
"93","92.000000","0.776851","-0.563249","0.281518","0.093088","82855.000000","-2177.000000"
"94","93.000000","0.777583","-0.562183","0.281627","0.093088","81687.000000","-1297.000000"
"95","94.000000","0.778015","-0.562519","0.279760","0.093088","83365.000000","-1777.000000"
"96","95.000000","0.778896","-0.561370","0.279615","0.093088","85260.000000","-1370.000000"
