"V1","V2","V3","V4","V5","V6","V7"
"1","0.000000","0.973411","-0.203769","0.104638","0.260933","79431.000000","-925.000000"
"2","1.000000","0.973336","-0.203731","0.105412","0.260933","79659.000000","-1585.000000"
"3","2.000000","0.973547","-0.202559","0.105717","0.260933","79348.000000","-1100.000000"
"4","3.000000","0.973559","-0.202636","0.105457","0.260933","78030.000000","-354.000000"
"5","4.000000","0.973548","-0.202314","0.106180","0.260933","80730.000000","-568.000000"
"6","5.000000","0.973622","-0.202600","0.104942","0.260933","80936.000000","-1952.000000"
"7","6.000000","0.973668","-0.202872","0.103992","0.260933","79399.000000","-579.000000"
"8","7.000000","0.973925","-0.202206","0.102870","0.260933","79820.000000","-2378.000000"
"9","8.000000","0.973986","-0.201893","0.102907","0.260933","80269.000000","-1633.000000"
"10","9.000000","0.974218","-0.200442","0.103549","0.260933","78933.000000","-581.000000"
"11","10.000000","0.974468","-0.199354","0.103296","0.260933","81135.000000","-909.000000"
"12","11.000000","0.974415","-0.198992","0.104485","0.260933","81068.000000","-1048.000000"
"13","12.000000","0.974599","-0.198722","0.103280","0.260933","81105.000000","-2121.000000"
"14","13.000000","0.974837","-0.197671","0.103047","0.260933","80791.000000","-1535.000000"
"15","14.000000","0.974885","-0.197403","0.103103","0.260933","79941.000000","-649.000000"
"16","15.000000","0.974837","-0.197591","0.103202","0.260933","81013.000000","-1121.000000"
"17","16.000000","0.974856","-0.197437","0.103317","0.260694","80276.000000","-1326.000000"
"18","17.000000","0.974807","-0.197546","0.103570","0.260215","81694.000000","-958.000000"
"19","18.000000","0.974879","-0.197753","0.102495","0.259737","80177.000000","-1083.000000"
"20","19.000000","0.974900","-0.198228","0.101365","0.259258","78521.000000","-1861.000000"
"21","20.000000","0.974949","-0.197960","0.101423","0.258779","78934.000000","-1016.000000"
"22","21.000000","0.974711","-0.198929","0.101809","0.258300","79807.000000","-829.000000"
"23","22.000000","0.974901","-0.198106","0.101593","0.257821","78830.000000","-1312.000000"
"24","23.000000","0.974912","-0.198105","0.101492","0.257343","81748.000000","-2256.000000"
"25","24.000000","0.974923","-0.198104","0.101392","0.256864","79117.000000","-2277.000000"
"26","25.000000","0.974753","-0.198850","0.101569","0.256385","78054.000000","-1768.000000"
"27","26.000000","0.974535","-0.199935","0.101526","0.256144","78423.000000","-3089.000000"
"28","27.000000","0.974386","-0.200592","0.101657","0.256144","78722.000000","-1412.000000"
"29","28.000000","0.974386","-0.201141","0.100570","0.256144","79543.000000","-1769.000000"
"30","29.000000","0.974214","-0.201883","0.100747","0.256144","78793.000000","-1823.000000"
"31","30.000000","0.974263","-0.201773","0.100498","0.255902","77637.000000","-1409.000000"
"32","31.000000","0.974013","-0.202385","0.101678","0.255414","78600.000000","-1492.000000"
"33","32.000000","0.973791","-0.203238","0.102105","0.254678","79887.000000","-2697.000000"
"34","33.000000","0.974013","-0.201915","0.102610","0.253693","78676.000000","-1474.000000"
"35","34.000000","0.974024","-0.201991","0.102355","0.252454","80431.000000","-1155.000000"
"36","35.000000","0.974074","-0.201720","0.102412","0.250961","78216.000000","-2158.000000"
"37","36.000000","0.974144","-0.201373","0.102429","0.249210","79475.000000","-797.000000"
"38","37.000000","0.974324","-0.201109","0.101233","0.247197","78307.000000","-1169.000000"
"39","38.000000","0.974304","-0.200717","0.102201","0.244922","78259.000000","-1321.000000"
"40","39.000000","0.974302","-0.200329","0.102977","0.242379","78028.000000","-1512.000000"
"41","40.000000","0.974083","-0.201648","0.102474","0.239809","78162.000000","-1058.000000"
"42","41.000000","0.973865","-0.202565","0.102737","0.237211","78837.000000","407.000000"
"43","42.000000","0.973611","-0.203612","0.103068","0.234585","79568.000000","-776.000000"
"44","43.000000","0.973619","-0.204011","0.102200","0.231929","77739.000000","-1735.000000"
"45","44.000000","0.973446","-0.205059","0.101753","0.229241","79878.000000","-2240.000000"
"46","45.000000","0.973376","-0.204860","0.102819","0.226522","79737.000000","3.000000"
"47","46.000000","0.973427","-0.204666","0.102721","0.223769","79499.000000","-1069.000000"
"48","47.000000","0.973236","-0.205351","0.103160","0.220982","79411.000000","-321.000000"
"49","48.000000","0.973308","-0.205467","0.102250","0.218159","78739.000000","-527.000000"
"50","49.000000","0.973081","-0.206787","0.101746","0.215299","78199.000000","-1171.000000"
