"S1","S2","S3","EC"
0.967894,-0.218485,0.12428,96745
0.967705,-0.2193,0.12432,96254.75
0.967546,-0.22001,0.124299,96708.8
0.967152,-0.221028,0.125556,97105.075
0.966895,-0.222057,0.125716,97304.3
0.966266,-0.223521,0.127939,96075.95
0.965688,-0.225626,0.128609,96599.975
0.965286,-0.226965,0.129268,97276.425
0.964843,-0.22809,0.130586,96861
0.964367,-0.229694,0.131289,96727.2
0.963781,-0.232044,0.131459,96754.55
0.963315,-0.233546,0.13221,97481.025
0.963027,-0.234459,0.132694,97421.5
0.962546,-0.235766,0.133867,96188.9
0.961864,-0.237596,0.13552,96885.75
0.961215,-0.239307,0.137103,97032.425
0.960604,-0.24121,0.138048,96796.775
0.960199,-0.242852,0.13799,96654.65
0.959581,-0.24475,0.138933,96153.825
0.958879,-0.24726,0.139333,97479.6
0.958361,-0.24876,0.140224,97383.925
0.957891,-0.249776,0.141623,96480.5
0.957346,-0.251394,0.14244,96636.75
0.957053,-0.252146,0.143083,97356.325
0.956367,-0.254164,0.144093,96689.825
0.955698,-0.25612,0.145068,96747.725
0.954923,-0.257864,0.147065,96234.075
0.954127,-0.259693,0.149004,97661.8
0.953344,-0.261461,0.150911,97244.45
0.952651,-0.263414,0.151883,96737.175
0.952103,-0.264822,0.152869,96521.125
0.951369,-0.267588,0.152621,97018.475
0.951013,-0.268557,0.153138,97068.975
0.950196,-0.270729,0.154379,97237.9
0.949597,-0.272574,0.15482,96582.45
0.948849,-0.274594,0.15583,97314.575
0.94821,-0.276688,0.156015,96989.65
0.94778,-0.277676,0.156871,96348.75
0.947258,-0.279006,0.157666,96909.225
0.946688,-0.280678,0.158118,97115.95
0.945926,-0.28234,0.159715,97022
0.945381,-0.283639,0.160636,96894.65
0.9448,-0.285361,0.161005,96429.575
0.944247,-0.286665,0.161929,97002.325
0.943937,-0.288067,0.161246,96945.15
0.94308,-0.29014,0.162539,96760.325
0.942324,-0.291503,0.164476,96536.5
0.941512,-0.293432,0.165688,97001.675
0.940964,-0.294525,0.166856,96895.125
0.940338,-0.29591,0.167935,96654.5
0.939729,-0.29729,0.168903,96848.525
0.939072,-0.299348,0.168922,96903.075
0.938116,-0.301899,0.169692,96997.675
0.937463,-0.303356,0.170701,96407.15
0.936867,-0.304342,0.172207,96673.925
0.936202,-0.306656,0.171717,97010.925
0.935471,-0.308606,0.17221,97064.8
0.934742,-0.310648,0.172497,96192.425
0.933828,-0.313565,0.172168,96918.025
0.933265,-0.315155,0.172319,96711.825
0.932944,-0.31573,0.173003,96944.25
0.932121,-0.317578,0.174057,96344.625
0.931578,-0.318831,0.174671,97180.575
0.93067,-0.32107,0.175406,96834.25
0.930339,-0.322148,0.175185,96841.775
0.92964,-0.32405,0.175389,96447.15
0.929709,-0.323897,0.175306,96968.5
0.929069,-0.325225,0.176238,96982.15
0.928936,-0.325459,0.176503,96931.675
0.928593,-0.326118,0.177094,96392.825
0.927663,-0.328026,0.178436,97486.575
0.926686,-0.330412,0.179112,96799.325
0.926029,-0.332074,0.179437,96670.65
0.925368,-0.333898,0.179458,96414.075
0.924804,-0.33497,0.180369,97105.5
0.924163,-0.336199,0.181364,96682.15
0.923851,-0.337198,0.181097,96773.375
0.923644,-0.337539,0.181517,96271.55
0.923035,-0.339074,0.181756,97071.175
0.922714,-0.339653,0.182302,96703.825
0.922068,-0.341035,0.182988,97024.1
0.921673,-0.341709,0.183723,96416.4
0.920806,-0.343394,0.184924,97006.375
0.920694,-0.344116,0.184139,96951
0.920044,-0.34543,0.184925,96839.25
0.920083,-0.345349,0.184881,96762.975
0.919764,-0.346342,0.184614,97292.25
0.91911,-0.347655,0.185399,96820.025
0.918821,-0.348369,0.185492,96955.825
0.918532,-0.348864,0.185993,96935.7
0.918164,-0.34968,0.186276,97084.5
0.917507,-0.351148,0.186754,97049.975
0.916762,-0.352464,0.18793,97008.225
0.916017,-0.354095,0.188494,96451.325
0.915679,-0.354571,0.18924,96880.925
0.91542,-0.354668,0.19031,97282.55
0.915183,-0.355678,0.189559,97084.775
0.9151,-0.355844,0.189648,96619.625
0.914646,-0.356972,0.189721,96536.3
0.914732,-0.356962,0.189325,97356.125
0.91427,-0.358002,0.189591,96871.425
0.913621,-0.358503,0.191763,96860.625
0.913271,-0.358712,0.193035,96975.125
0.913395,-0.358359,0.1931,97271.3
0.912983,-0.359722,0.192516,96892.775
0.913012,-0.359067,0.193599,97122.625
0.912787,-0.359033,0.194721,96570.15
0.912646,-0.358831,0.195749,96955.075
0.912289,-0.358992,0.197114,96925.6
0.911901,-0.359652,0.197706,96919
0.911739,-0.3603,0.197271,96651.525
0.912051,-0.360121,0.196151,96771.5
0.91193,-0.360631,0.195779,97364.475
0.911939,-0.360944,0.19516,97379.325
0.911505,-0.361635,0.195907,96502.3
0.911748,-0.360655,0.196581,97082.15
0.910935,-0.362478,0.196994,96854.075
0.910798,-0.362325,0.197911,97160.5
0.910163,-0.363912,0.197917,96812.9
0.909874,-0.364868,0.197488,96907.8
0.910233,-0.364705,0.196125,97215.85
0.9102,-0.365202,0.195353,97373.25
0.9102,-0.365202,0.195353,96630.325
0.909729,-0.366341,0.195416,97152.8
0.9096,-0.366803,0.195151,97337.225
0.909429,-0.367506,0.194622,97119.6
0.908991,-0.368358,0.195058,97200.375
0.908562,-0.369463,0.194966,96443.875
0.908421,-0.369623,0.195321,97239.775
0.907815,-0.371437,0.194697,97102.775
0.908071,-0.37083,0.19466,96653.175
0.908424,-0.370146,0.194314,96495.775
0.908339,-0.370682,0.19369,97113.8
0.908465,-0.370011,0.194378,97310.45
0.908421,-0.370202,0.194221,96656.575
0.907902,-0.371847,0.193504,96167.075
0.907634,-0.371994,0.194475,97197.45
0.907822,-0.372479,0.192662,97334.9
0.907286,-0.373513,0.193187,96900.65
0.907195,-0.373687,0.193277,96811.825
0.907066,-0.374619,0.192072,97257.975
0.90676,-0.375158,0.192468,97470.35
0.906982,-0.374992,0.191743,97099.275
0.906538,-0.376158,0.191555,96797.2
0.906227,-0.376651,0.192058,97187.8
0.906454,-0.377153,0.189992,97314.45
0.906237,-0.37762,0.190096,96908.225
0.906233,-0.377576,0.190204,97203.8
0.905831,-0.378502,0.190281,97004.075
0.905289,-0.379845,0.19018,97247.575
0.904981,-0.380638,0.190062,96724
0.904584,-0.381907,0.189409,96969.975
0.904355,-0.383206,0.187871,97046
0.903448,-0.385021,0.188519,97444.6
0.903046,-0.38588,0.188692,96795.25
0.902486,-0.387589,0.187867,96853.875
0.902288,-0.388464,0.187009,96990.65
0.901897,-0.389996,0.1857,97144.525
0.901556,-0.391329,0.18455,97149.925
0.901362,-0.392133,0.183788,96683.575
0.900991,-0.392972,0.183818,96970.35
0.900116,-0.394447,0.184938,97165.425
0.899337,-0.395884,0.185659,96780.8
0.898855,-0.396873,0.185881,96866.525
0.898015,-0.398801,0.185814,96777.325
0.897479,-0.400318,0.185141,97225.75
0.897048,-0.40125,0.185212,97014.4
0.896788,-0.402259,0.184282,96290.5
0.89621,-0.403644,0.184064,96632.875
0.895672,-0.404623,0.184533,97141.7
0.894968,-0.406284,0.184296,96976.25
0.894269,-0.407834,0.184267,96559.325
0.893565,-0.409529,0.183923,96491.25
0.893068,-0.410561,0.184036,96813.875
0.892537,-0.41174,0.18398,97630.625
0.89209,-0.412676,0.184049,97021.6
0.89177,-0.413673,0.183362,96610.55
0.891029,-0.415465,0.182909,97238.425
0.890522,-0.41664,0.182705,97287.125
0.889684,-0.417859,0.184002,96585.75
0.888907,-0.419397,0.184257,96601.2
0.888564,-0.419857,0.18486,97129.95
0.888018,-0.420992,0.184907,97300.975
