"S1","S2","S3","EC"
0.91883,-0.34051,0.199508,77276.55
0.918944,-0.340007,0.199843,77670.85
0.918938,-0.339873,0.200098,77864.275
0.918702,-0.340579,0.199982,77565.775
0.91835,-0.341078,0.200745,77437.825
0.917571,-0.342806,0.201367,77275.5
0.917374,-0.34252,0.202742,77516.7
0.916931,-0.343377,0.203296,77406.1
0.916849,-0.343924,0.202741,77176.525
0.916412,-0.344967,0.202947,77393.8
0.916433,-0.344686,0.203325,77728.375
0.915812,-0.345796,0.204238,77441.125
0.915433,-0.346573,0.204621,77502.85
0.914989,-0.347566,0.204921,77310.3
0.914403,-0.348726,0.205567,77505.525
0.914063,-0.348887,0.206802,77441.925
0.91317,-0.350976,0.207213,77514.475
0.913205,-0.350227,0.208323,77255.1
0.912244,-0.351902,0.209706,77523.475
0.91183,-0.352912,0.209805,77397.65
0.911853,-0.352628,0.210184,77591.725
0.911911,-0.352943,0.209402,77058.425
0.911504,-0.354767,0.20809,77725.875
0.911115,-0.355541,0.208472,77187.65
0.911146,-0.355389,0.208593,77539.3
0.910258,-0.357104,0.209541,77018.525
0.909468,-0.358441,0.210687,77487.475
0.909099,-0.359641,0.210229,77155.875
0.908788,-0.360403,0.21027,77506.375
0.908767,-0.360732,0.209796,76796.375
0.908768,-0.361489,0.208487,77451.45
0.908357,-0.361913,0.20954,76911.75
0.908304,-0.361723,0.210094,77424.975
0.907925,-0.362791,0.209893,76884.25
0.907553,-0.363189,0.21081,77275.9
0.907079,-0.364051,0.211364,77062.125
0.907007,-0.364276,0.211284,77371.4
0.906944,-0.36383,0.212322,76758.825
0.906433,-0.364848,0.212758,77318.125
0.906,-0.365771,0.213015,77189.2
0.905126,-0.367444,0.213851,77227.325
0.905444,-0.366775,0.213653,77106.525
0.906035,-0.365745,0.212912,77106.775
0.906116,-0.365648,0.212733,77428.375
0.905677,-0.366398,0.213311,77214.425
0.905628,-0.366253,0.21377,76727.75
0.905205,-0.366588,0.214983,77251.925
0.905214,-0.366717,0.214725,77030.325
0.905268,-0.366233,0.21532,77255.75
0.905326,-0.365705,0.215974,77068.725
0.904752,-0.366404,0.217191,77387.775
0.904159,-0.36765,0.217555,76989.125
0.904159,-0.36765,0.217555,77165.85
0.904049,-0.368035,0.21736,76757.7
0.904058,-0.367577,0.218097,77310.975
0.904544,-0.366713,0.217538,76926.7
0.904068,-0.367706,0.217838,77135.95
0.90447,-0.36694,0.217461,76710.4
0.903922,-0.368249,0.217525,77112.75
0.903896,-0.368536,0.217147,76957.375
0.903577,-0.369204,0.21734,77129.925
0.903173,-0.36997,0.217716,76723.275
0.903097,-0.369612,0.218638,77172.125
0.903097,-0.369612,0.218638,76861.475
0.903146,-0.369671,0.218336,77232.225
0.903665,-0.369192,0.216998,76821.725
0.904151,-0.368327,0.216439,77161.5
0.904031,-0.369169,0.215507,76971.65
0.904955,-0.367598,0.214309,77213.025
0.905332,-0.366399,0.214771,76737.675
0.904884,-0.367781,0.214293,77129.3
0.904335,-0.368198,0.215891,77119.75
0.90483,-0.366155,0.217286,77137.8
0.90536,-0.364632,0.217641,76799.825
0.905252,-0.365014,0.217446,76949.75
0.905596,-0.364775,0.216413,77205.7
0.905996,-0.364005,0.216035,76936.85
0.906474,-0.362421,0.216692,76940.325
0.907319,-0.360433,0.216471,77107.65
0.907246,-0.360062,0.217392,77295.825
0.908169,-0.357975,0.216987,77044.3
0.908136,-0.358129,0.216868,77079.775
0.9085,-0.357509,0.21637,77038.975
0.908944,-0.356208,0.216647,77211.775
0.909298,-0.3549,0.217307,77023.725
0.909838,-0.353814,0.21682,76930.275
0.910587,-0.352362,0.216039,76635
0.91105,-0.352035,0.214614,77265.45
0.911471,-0.351104,0.214352,77114
0.911891,-0.350173,0.214089,77217.05
0.912289,-0.349527,0.213447,76977.675
0.912326,-0.348905,0.214303,77440.8
0.911828,-0.349856,0.214872,77203.825
0.9119,-0.350307,0.213829,77297.175
0.911834,-0.350526,0.213751,77045.275
0.912294,-0.350197,0.212324,77119.25
0.913111,-0.34865,0.211355,76876.625
0.91356,-0.347598,0.211148,77331.85
0.914353,-0.34697,0.208734,76745.35
0.913895,-0.347837,0.209297,77232.2
0.913959,-0.347619,0.209378,76993.125
0.914417,-0.346753,0.208816,77255.75
0.914818,-0.345579,0.209004,76969.875
0.915211,-0.343735,0.21032,77056.15
0.915603,-0.343086,0.209675,77218.275
0.915646,-0.343155,0.209375,77123
0.916098,-0.34229,0.208812,76900.875
0.916148,-0.342495,0.208254,77651.525
0.916524,-0.341017,0.209024,77542.325
0.916654,-0.340726,0.208928,77343.5
0.916973,-0.340154,0.208461,76991.375
0.917507,-0.338931,0.208101,77292.6
0.917662,-0.338497,0.208127,77424.175
0.918578,-0.336544,0.20725,77606.225
0.918978,-0.335614,0.206986,77181.575
0.918911,-0.335687,0.207162,77357.675
0.918982,-0.336135,0.206121,77628.075
0.919526,-0.335103,0.205372,77411.575
0.919022,-0.336207,0.205824,77129.1
0.919022,-0.336207,0.205824,77353.825
0.919743,-0.334721,0.205022,77361.725
0.920145,-0.334367,0.203795,77200.775
0.920197,-0.334771,0.202892,77331.2
0.920133,-0.334844,0.203064,77356.025
0.919819,-0.335421,0.203535,77570
0.91979,-0.334988,0.204374,77643.95
0.919707,-0.335343,0.204168,77182.925
0.919558,-0.335772,0.204134,77401.05
0.91873,-0.337955,0.204256,77456.05
0.918382,-0.339287,0.203615,77307.7
0.917488,-0.341676,0.203651,77381.55
0.917427,-0.34189,0.203567,77501.6
0.917055,-0.34281,0.203696,77711.75
0.916682,-0.343729,0.203825,77622.675
0.916328,-0.34505,0.203182,77506.4
0.916328,-0.34505,0.203182,77333.175
0.91559,-0.346382,0.204239,77871.075
0.914763,-0.347496,0.206049,77365
0.914741,-0.347779,0.205669,77986.525
0.914761,-0.347444,0.206143,77232.05
0.914802,-0.346826,0.206998,77741.75
0.914768,-0.347578,0.205886,77412.825
0.914321,-0.348574,0.206187,77597.5
0.9138,-0.34899,0.207787,77422.475
0.913577,-0.349899,0.207238,77715.05
0.913145,-0.350528,0.20808,77510.85
0.912726,-0.351422,0.208406,77465.4
0.912203,-0.352553,0.208787,77346.925
0.911338,-0.35394,0.210211,77688.7
0.911413,-0.353853,0.210034,77748.725
0.911538,-0.353282,0.210452,77443.05
0.911538,-0.353282,0.210452,77408.675
0.910992,-0.354743,0.210359,77750.925
0.910965,-0.355658,0.208925,77858.425
0.91105,-0.356498,0.207114,77448.675
0.910532,-0.357882,0.207006,77499.675
0.910661,-0.358106,0.206048,77658
0.910612,-0.357914,0.206602,78005.8
0.91074,-0.358061,0.20578,77503.45
0.910589,-0.358244,0.206127,77492.725
0.910267,-0.358795,0.206591,77665.925
0.909697,-0.360036,0.206941,77824.075
0.909648,-0.36065,0.206086,77678.475
0.909146,-0.36159,0.206653,77591.825
0.908823,-0.362137,0.207116,77575.875
0.908746,-0.362232,0.207291,78046.525
0.908633,-0.361595,0.208889,77569.7
0.90768,-0.363114,0.210391,77812.025
0.907366,-0.363875,0.210431,77588.925
0.907343,-0.364246,0.20989,77705.525
0.906622,-0.365516,0.210793,77730.775
0.907038,-0.364333,0.211052,77483.525
0.906606,-0.365258,0.21131,77359.525
0.906748,-0.365607,0.210093,77837.025
0.906876,-0.365655,0.209457,77559.425
0.906559,-0.366325,0.209659,77853.45
0.906154,-0.366962,0.210293,77712.125
0.90583,-0.367501,0.210751,77746.45
0.905751,-0.366929,0.212078,77657.2
0.905808,-0.367202,0.211362,77686.925
0.906176,-0.365879,0.212079,77821.4
0.906283,-0.365498,0.212279,77887.2
0.906298,-0.365127,0.212851,77465.925
0.906606,-0.364327,0.21291,77486.6
0.906923,-0.363655,0.212712,77737.575
0.906987,-0.364102,0.211672,77860.05
0.907897,-0.362526,0.210472,77899.475
0.907818,-0.362621,0.210649,77520.55
0.907985,-0.362688,0.209811,77586.525
0.90759,-0.363457,0.21019,77952.9
0.908117,-0.36291,0.208852,77628.275
0.908621,-0.361973,0.208287,77978.95
0.908543,-0.362067,0.208463,77759.85
0.908945,-0.361426,0.207825,77895.05
0.90924,-0.360317,0.20846,77669.725
0.909217,-0.359885,0.2093,77644.625
0.908816,-0.360527,0.209938,77817.55
0.9085,-0.361206,0.210141,78058.425
0.908558,-0.360767,0.21064,77649.375
0.908952,-0.359996,0.210261,77685.8
0.90875,-0.360796,0.20976,77865.525
0.909298,-0.359917,0.208896,77881.75
0.909367,-0.359694,0.208977,77464.15
0.909422,-0.359171,0.209639,77638.525
0.909713,-0.358058,0.210275,77499.7
0.909689,-0.357627,0.211114,78087.65
0.909623,-0.357179,0.212154,77388.45
0.909333,-0.358293,0.211517,77659.85
0.909223,-0.358537,0.211575,77852.075
0.909296,-0.359116,0.210276,78078.1
0.909689,-0.358343,0.209896,77533.375
0.909766,-0.358252,0.209719,77696.45
0.910056,-0.357854,0.209136,77674.05
0.910056,-0.357854,0.209136,78199.225
0.91038,-0.357302,0.208673,77433.2
0.91038,-0.357302,0.208673,77647.1
0.910456,-0.357211,0.208496,77525.25
0.911299,-0.356108,0.206691,77697.2
0.911634,-0.355053,0.207026,77507
0.911654,-0.354685,0.207569,77726.4
0.9123,-0.353606,0.20657,77751.875
0.911481,-0.355147,0.20754,78035.975
0.911871,-0.354369,0.207157,77572.175
0.912162,-0.353246,0.207792,77734.175
0.912139,-0.353531,0.20741,77706.85
0.912139,-0.353531,0.20741,77838.7
0.912986,-0.352552,0.205337,77831.125
0.9138,-0.351005,0.204364,77723.375
0.913846,-0.351169,0.203877,77703.975
0.913728,-0.351107,0.204512,78165.175
0.91378,-0.350622,0.205113,77330.575
0.914207,-0.349905,0.20443,77534.175
0.915034,-0.347989,0.204001,77800.6
0.915041,-0.348123,0.203743,77687.075
0.9154,-0.347572,0.203069,77445.25
0.915764,-0.346385,0.203456,77650.15
0.915833,-0.346302,0.203283,77900.125
0.916265,-0.345032,0.203497,78022.4
0.916566,-0.34342,0.204862,77782.825
0.916947,-0.342633,0.204475,77496.6
0.916886,-0.342848,0.20439,77660.1
0.916569,-0.342891,0.205734,77500.65
0.91703,-0.341551,0.205907,77978.7
0.917099,-0.341473,0.205732,77557.4
0.916727,-0.342394,0.205861,77475.525
0.916775,-0.342599,0.205305,77949.475
0.917202,-0.342018,0.204364,77662.6
0.918037,-0.339841,0.204244,77590.675
0.91803,-0.33965,0.204596,77771.5
0.918425,-0.338468,0.204778,77777.425
0.918589,-0.337558,0.205544,77931
0.918121,-0.337541,0.207653,77462.825
0.918121,-0.337541,0.207653,77474.025
0.918088,-0.336993,0.208685,77916.3
0.917747,-0.337827,0.208839,77505.775
0.91815,-0.336895,0.208574,77730.45
0.91815,-0.336895,0.208574,77455.95
0.91852,-0.335527,0.209149,77573.9
0.918176,-0.335691,0.210389,77626.05
0.918584,-0.334281,0.210857,77549.075
0.91814,-0.33514,0.211422,77772.4
0.918865,-0.333651,0.210626,77665.8
0.918545,-0.33367,0.211988,77451.925
0.918545,-0.33367,0.211988,77296.875
0.918536,-0.333531,0.212247,77672.275
0.918596,-0.333823,0.211527,77345.175
0.918987,-0.333194,0.210818,77674.3
0.918578,-0.333605,0.211947,77333.025
0.918588,-0.333743,0.211688,77750.825
0.919145,-0.332849,0.210677,77511.8
0.918871,-0.334,0.210046,77520.6
0.918938,-0.333929,0.209868,77263.4
0.919012,-0.334378,0.208828,77538.325
0.918664,-0.335077,0.209238,77404.15
0.919036,-0.333235,0.210542,77745.975
0.919342,-0.332519,0.210335,77519.925
0.918545,-0.333939,0.211565,77453.7
0.918163,-0.335145,0.211315,77488.3
0.918538,-0.33436,0.21093,77855.675
0.918845,-0.333645,0.210723,77570.575
0.918431,-0.334917,0.210513,77577.15
0.918431,-0.334917,0.210513,77280.6
0.917982,-0.336311,0.210247,77787.825
0.917596,-0.33696,0.210891,77239.925
0.916929,-0.338227,0.211761,77664.3
0.916579,-0.339419,0.211372,77324.1
0.916085,-0.340236,0.212199,77542.125
0.915662,-0.341501,0.211988,77376.3
0.915265,-0.343172,0.211004,77320.55
0.914959,-0.344505,0.210156,77516.025
0.914167,-0.345628,0.211755,77709.275
0.913631,-0.347037,0.211762,77575.7
0.91413,-0.346245,0.210904,77312.975
0.914006,-0.346125,0.211638,77625.85
0.913997,-0.345991,0.211896,77395.025
0.91362,-0.346851,0.212117,77426.9
0.913285,-0.347196,0.212994,77237.85
0.912842,-0.348291,0.213102,77362.125
0.91321,-0.347849,0.212247,77663.15
0.912456,-0.349635,0.212556,77686.825
0.912317,-0.349936,0.212656,77644.5
0.912675,-0.349943,0.211103,77722.45
0.91242,-0.350915,0.210591,77474.8
0.911993,-0.352304,0.21012,77394.25
0.911598,-0.352945,0.210757,77315.3
0.911642,-0.353009,0.21046,77608.15
0.911255,-0.353781,0.210839,77542.25
0.911074,-0.354108,0.211074,77398.25
0.911451,-0.353798,0.209962,77548.85
0.911375,-0.35385,0.210204,77728.4
0.9114,-0.354281,0.209367,77416.3
0.911609,-0.35379,0.209287,77685.35
0.911632,-0.354185,0.208517,77194.275
0.911632,-0.354185,0.208517,77666.05
0.911714,-0.354229,0.208086,77432.575
0.912189,-0.353668,0.206953,77622.6
0.91174,-0.354706,0.207156,77464.875
0.911747,-0.354837,0.206901,77664.45
0.911361,-0.355607,0.20728,77325.225
0.910478,-0.357313,0.208223,77794.975
0.910027,-0.357638,0.209635,77009.9
0.909882,-0.357949,0.209731,77586.25
0.909742,-0.357594,0.210942,77337.3
0.909326,-0.357971,0.212092,77740.775
0.908915,-0.359783,0.210784,77228.775
0.908915,-0.359783,0.210784,77380.325
0.908943,-0.358871,0.212213,77266.7
0.908655,-0.358635,0.213838,77820.55
0.908664,-0.358766,0.213581,76823.875
0.908428,-0.359351,0.2136,77571.625
0.908828,-0.358715,0.212967,77371.725
0.908682,-0.359027,0.213067,77632.75
0.908612,-0.359248,0.212989,77088.725
0.909036,-0.358328,0.212731,77327.1
0.90935,-0.35765,0.212532,77417.725
0.909782,-0.356267,0.213004,78029.025
0.909705,-0.356356,0.213183,76955.975
0.910669,-0.354558,0.212062,77646.875
0.910974,-0.353741,0.212119,77535.575
0.91096,-0.354157,0.211484,77895.1
0.911382,-0.353281,0.211128,77125
0.911887,-0.352487,0.210274,77613.4
