Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-01-04,176.03,179.2,175.6901,178.28,3193428.0,0.0,1.0,176.03,179.2,175.6901,178.28,3193428.0
2019-01-03,175.45,176.45,174.41,174.9,3714419.0,0.0,1.0,175.45,176.45,174.41,174.9,3714419.0
2019-01-02,175.41,176.3,174.168,176.06,2570832.0,0.0,1.0,175.41,176.3,174.168,176.06,2570832.0
2018-12-31,175.96,177.8,175.6,177.57,2482576.0,0.0,1.0,175.96,177.8,175.6,177.57,2482576.0
2018-12-28,176.3,177.5,174.85,175.56,2890778.0,0.0,1.0,176.3,177.5,174.85,175.56,2890778.0
2018-12-27,173.29,175.71,170.73,175.71,3934478.0,0.0,1.0,173.29,175.71,170.73,175.71,3934478.0
2018-12-26,170.09,174.04,169.04,174.03,4065567.0,0.0,1.0,170.09,174.04,169.04,174.03,4065567.0
2018-12-24,174.24,175.27,170.17,170.28,2400878.0,0.0,1.0,174.24,175.27,170.17,170.28,2400878.0
2018-12-21,173.53,177.65,173.53,174.15,8269890.0,0.0,1.0,173.53,177.65,173.53,174.15,8269890.0
2018-12-20,178.21,178.8122,172.54,173.68,5775271.0,0.0,1.0,178.21,178.8122,172.54,173.68,5775271.0
2018-12-19,180.95,182.98,178.58,179.16,3883127.0,0.0,1.0,180.95,182.98,178.58,179.16,3883127.0
2018-12-18,182.24,182.61,179.06,179.71,4268805.0,0.0,1.0,182.24,182.61,179.06,179.71,4268805.0
2018-12-17,182.8,183.62,180.2,180.79,4566690.0,0.0,1.0,182.8,183.62,180.2,180.79,4566690.0
2018-12-14,185.26,185.26,182.2,183.29,4450043.0,0.0,1.0,185.26,185.26,182.2,183.29,4450043.0
2018-12-13,184.0,186.76,183.81,186.43,2737410.0,0.0,1.0,184.0,186.76,183.81,186.43,2737410.0
2018-12-12,183.93,184.84,182.35,183.48,3024651.0,0.0,1.0,183.93,184.84,182.35,183.48,3024651.0
2018-12-11,186.57,186.83,182.87,183.59,2669781.0,0.0,1.0,186.57,186.83,182.87,183.59,2669781.0
2018-12-10,182.96,185.09,180.55,184.65,3084911.0,0.0,1.0,182.96,185.09,180.55,184.65,3084911.0
2018-12-07,185.33,187.2,182.67,182.96,3086377.0,0.0,1.0,185.33,187.2,182.67,182.96,3086377.0
2018-12-06,182.74,185.75,182.1,185.45,4837130.0,0.0,1.0,182.74,185.75,182.1,185.45,4837130.0
